,link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
5495,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2316-inizzio-santiago-de-surco-lima-lima-sembra-inmobiliaria,INIZZIO,-12.1137096,-76.99237699999999,Caminos del Inca 236,Santiago De Surco,En construcción,"30 de Septiembre, 2024",Banco Scotiabank,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,T-4,Piso: 5,1,40.03 m2,"S/ 415,000"
1352,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2990-friendz-2-chorrillos-lima-lima-hl-desarrollos-inmobiliarios,Friendz 2,-12.175152772790474,-77.00200867335236,Jr. Andromeda Mz J Lote 3,Chorrillos,En construcción,"31 de Mayo, 2025",Banco Pichincha,"['Área de juegos para niños', 'Areas verdes', 'Boulevard peatonal', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Sala de usos Múltiples', 'Techos Ecológicos', 'Terraza', 'Video vigilancia', 'Zona de Lavandería', 'Zona de Parrillas']",flat,Tipo 1E,Pisos: Entre 1 al 6,2,46.68 m2,"S/ 252,610"
5498,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2316-inizzio-santiago-de-surco-lima-lima-sembra-inmobiliaria,INIZZIO,-12.1137096,-76.99237699999999,Caminos del Inca 236,Santiago De Surco,En construcción,"30 de Septiembre, 2024",Banco Scotiabank,"['Gimnasio', 'Lobby', 'Piscina', 'Sala de Niños', 'Terraza', 'Video vigilancia', 'Zona de Parrillas']",flat,T-1,Pisos: Entre 6 al 17,3,76.91 m2,"S/ 677,700"
1059,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2387-verah-condominio-etapa-3-santiago-de-surco-lima-lima-akamai,Verah Condominio - Etapa 3,-12.143767024768092,-77.01270103209563,Jr. Peña Rivera 400 cruce con Jr. Diego Ferré,Santiago De Surco,En planos,"31 de Agosto, 2026",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Zona de Parrillas']",flat,EDIF 6 - X01,Pisos: Entre 3 al 9,2,64.65 m2,"S/ 311,000"
1136,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2487-libertad-san-miguel-lima-lima-capac-asociados,Libertad,-12.0793846,-77.1040247,Av Libertad 2401,San Miguel,En planos,"30 de Noviembre, 2025",Banco Pichincha,"['Gimnasio', 'Lobby', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,AX05,Pisos: Entre 2 al 12,2,71.25 m2,"S/ 352,000"
1268,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2798-founder-miraflores-lima-lima-alerces-inmobiliaria,Founder,-12.1144027,-77.0474445,Av. Ejercito 741 - 747,Miraflores,En planos,"31 de Julio, 2026","BBVA, Otros","['Área de juegos para niños', 'Gimnasio', 'Lobby', 'Sala Bar', 'Zona de Parrillas', 'Otros']",flat,x03,Piso: 4,3,82.98 m2,"S/ 621,000"
4762,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3239-sky-park-san-borja-lima-lima-inhouse,SKY PARK,-12.0956057,-76.9882326,Jirón Paseo del Bosque 832,San Borja,En planos,"31 de Marzo, 2026",BBVA,"['Areas verdes', 'Lobby', 'Sala Bar', 'Sala de usos Múltiples', 'Terraza', 'Zona de Parrillas', 'Otros']",flat,708,Piso: 7,1,37.95 m2,"S/ 266,000"
4233,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3025-centrix-28-miraflores-lima-lima-ee-inmobiliaria,Centrix 28,-12.12972221149553,-77.0214986734462,AV. 28 de Julio 1109 con Cl. Francisco del Castillo N° 359 - 365,Miraflores,En planos,"31 de Julio, 2026",Banco BCP,"['Gimnasio', 'Lobby', 'Terraza', 'Zona de Parrillas']",flat,Tipo 04,Pisos: Entre 2 al 11,3,73.96 m2,"S/ 577,000"
2349,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3381-novo-3-cercado-de-lima-lima-lima-my-home,NOVO 3,-12.0732836,-77.03092219999999,jirón José Gálvez 950,Cercado de lima,En planos,"15 de Diciembre, 2026",Banco Scotiabank,"['Gimnasio', 'Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 1 B,Pisos: Entre 4 al 22,1,35.00 m2,"S/ 280,000"
773,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2295-residencial-real-la-victoria-lima-lima-paz,Residencial Real,-12.0729018,-77.03024309999999,Av. Paseo de la República 1233,La Victoria,En construcción,"30 de Junio, 2024",Banco Interbank,"['Área de juegos para niños', 'Gimnasio', 'Jardin interior', 'Lobby', 'Piscina', 'Sala Bar', 'Sala de Internet', 'Sala de Niños', 'Sala de usos Múltiples', 'Techo Panorámico', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,7,"Pisos: 14, 16, 17, 18",2,52.74 m2,"S/ 303,177"
